1	2381	Трима другари	Трима другари	Ерих Мария Ремарк	Ерих Мария Ремарк
2	251	Без дом	Без дом	Ектор Мало	Ектор Мало
20	4926	Не пуша вече!	Не пуша вече!	Алън Кар	Алън Кар
26	1620	Огънят отвътре	Огънят отвътре	Карлос Кастанеда	Карлос Кастанеда
27	1621	Силата на безмълвието	Силата на безмълвието	Карлос Кастанеда	Карлос Кастанеда
30	7174	Войната на семейство Роуз	Войната на семейство Роуз	Уорън Адлър	Уорън Адлър
34	1554	Магическият преход	Магическият преход	Тайша Абелар	Тайша Абелар
40	3818	Съчинения в три тома	Съчинения в три тома	Чудомир	Чудомир
41	3818	Съчинения в три тома	Съчинения в три тома	Чудомир	Чудомир
42	3818	Съчинения в три тома	Съчинения в три тома	Чудомир	Чудомир
43	4473	Чевенгур	Чевенгур	Андрей Платонов	Андрей Платонов
58	2105	Книга за операта	Книга за операта	Любомир Сагаев	Любомир Сагаев
68	4777	Възкресение	Възкресение	Лев Толстой	Лев Толстой
86	3546	Денят не съмва за нас	Денят не съмва за нас	Робер Мерл	Робер Мерл
100	5274	Дъщерята на професора	Дъщерята на професора	Пиърз Пол Рийд	Пиърз Пол Рийд
111	2350	Дейвид Копърфийлд	Дейвид Копърфийлд	Чарлс Дикенс	Чарлс Дикенс
112	1984	Добрият път	Добрият път	Конфуций	Конфуций
114	355	Един ден на Иван Денисович	Един ден на Иван Денисович	Александър Солженицин	Александър Солженицин
116	1064	Параграф 22	Параграф 22	Джоузеф Хелър	Джоузеф Хелър
122	1371	Към себе си	Към себе си	Марк Аврелий	Марк Аврелий
143	2109	Голгота	Голгота	Чингиз Айтматов	Чингиз Айтматов
156	935	Изгубеният свят	Изгубеният свят	Артър Конан Дойл	Артър Конан Дойл
163	345	Раково отделение	Раково отделение	Александър Солженицин	Александър Солженицин
165	276	Къщата на духовете	Къщата на духовете	Исабел Алиенде	Исабел Алиенде
168	4206	Диви кинозвезди	Диви кинозвезди	Джералд Даръл	Джералд Даръл
173	119	Сто години самота	Сто години самота	Габриел Гарсия Маркес	Габриел Гарсия Маркес
177	1258	СИЯНИЕ	Сияние	Стивън Кинг	Стивън Кинг
193	919	Клошмерл	Клошмерл	Габриел Шевалие	Габриел Шевалие
195	965	Ян Бибиян	Ян Бибиян	Елин Пелин	Елин Пелин
197	7897	Дамата с карамфилите	Дамата с карамфилите	Арчибалд Кронин	Арчибалд Кронин
200	944	Резерватът на таласъмите	Резерватът на таласъмите	Клифърд Саймък	Клифърд Саймък
204	604	На вратата се позвъни. Гамбит	На вратата се позвъни. Гамбит	Рекс Стаут	Рекс Стаут
211	1090	Железният светилник	Железният светилник	Димитър Талев	Димитър Талев
228	1336	Вийет	Вийет	Шарлот Бронте	Шарлот Бронте
234	7963	Герой по неволя	Герой по неволя	Лионор Флайшър	Лионор Флайшър
243	7961	Пяната на дните	Пяната на дните	Борис Виан	Борис Виан
249	4767	Тежки времена	Тежки времена	Чарлз Дикенс	Чарлз Дикенс
250	1763	Бай Ганьо	Бай Ганьо	Алеко Константинов	Алеко Константинов
251	1430	Време разделно	Време разделно	Антон Дончев	Антон Дончев
312	3621	Нека ти разкажа	Нека ти разкажа	Хорхе Букай	Хорхе Букай
322	2783	Доводите на разума	Доводите на разума	Джейн Остин	Джейн Остин
340	3714	Успехът и парите	Успехът и парите	Джон Кехоу	Джон Кехоу
342	1928	Вещицата от Портобело	Вещицата от Портобело	Паулу Коелю	Паулу Коелю
343	4028	Яж, моли се и обичай	Яж, моли се и обичай	Елизабет Гилбърт	Елизабет Гилбърт
357	1550	Пътуване към Икстлан	Пътуване към Икстлан	Карлос Кастанеда	Карлос Кастанеда
364	1665	Цар плъх	Цар Плъх	Джеймс Клавел	Джеймс Клавел
388	5779	Моят чичо Осуалд	Моят чичо Осуалд	Роалд Дал	Роалд Дал
397	1549	Една отделна реалност	Една отделна реалност	Карлос Кастанеда	Карлос Кастанеда
405	1611	Дневникът на един маг	Дневникът на един маг	Паулу Коелю	Паулу Коелю
406	1102	Майстора и Маргарита	Майстора и Маргарита	Михаил Булгаков	Михаил Булгаков
420	7267	Лабиринтът с костите	Лабиринтът с костите	Рик Риърдън	Рик Риърдън
423	6353	Маската на Атрей	Маската на Атрей	А. Дж. Хартли	А. Дж. Хартли
456	7975	Любовен пасианс	Любовен пасианс	Александра Потър	Александра Потър
459	4882	Диаболични повести и разкази	Диаболични повести и разкази	Владимир Полянов	Владимир Полянов
476	7102	Вампирът Лестат	Вампирът Лестат	Ан Райс	Ан Райс
499	4973	Валс в тъмнината	Валс в тъмнината	Уилям Айриш	Уилям Айриш
514	7898	Грейси Линдзи	Грейси Линдзи	Арчибалд Кронин	Арчибалд Кронин
527	1534	Тютюн	Тютюн	Димитър Димов	Димитър Димов
527	1960	Тютюн	Тютюн	Димитър Димов	Димитър Димов
546	7890	Каменни трохи	Каменни трохи	Инге Нера	Инге Нера
554	1836	Дюн	Дюн	Франк Хърбърт	Франк Хърбърт
570	4342	История на окото	История на окото	Жорж Батай	Жорж Батай
576	270	Конски гамбит	Конски гамбит	Уилям Фокнър	Уилям Фокнър
592	4359	Тъй рече Заратустра	Тъй рече Заратустра	Фридрих Ницше	Фридрих Ницше
592	7477	Тъй рече Заратустра	Тъй рече Заратустра	Фридрих Ницше	Фридрих Ницше
600	126	Робинзон Крузо	Робинзон Крузо	Даниел Дефо	Даниел Дефо
666	4275	Безкрайна нощ	Безкрайна нощ	Агата Кристи	Агата Кристи
678	662	Гордост и предразсъдъци	Гордост и предразсъдъци	Джейн Остин	Джейн Остин
685	4254	Меч на съдбата	Меч на съдбата	Анджей Сапковски	Анджей Сапковски
688	4190	Кръвта на елфите	Кръвта на елфите	Анджей Сапковски	Анджей Сапковски
689	1479	Поручик Бенц	Поручик Бенц	Димитър Димов	Димитър Димов
697	4191	Време на презрение	Време на презрение	Анджей Сапковски	Анджей Сапковски
699	4903	Огнено кръщение	Огнено кръщение	Анджей Сапковски	Анджей Сапковски
700	4904	Кулата на лястовицата	Кулата на лястовицата	Анджей Сапковски	Анджей Сапковски
702	4905	Господарката на езерото	Господарката на езерото	Анджей Сапковски	Анджей Сапковски
702	4906	Господарката на езерото	Господарката на езерото	Анджей Сапковски	Анджей Сапковски
703	4905	Господарката на езерото	Господарката на езерото	Анджей Сапковски	Анджей Сапковски
703	4906	Господарката на езерото	Господарката на езерото	Анджей Сапковски	Анджей Сапковски
718	1908	Зона 51: Началото	Зона 51: Началото	Робърт Дохърти	Робърт Дохърти
719	1909	Зона 51: Отговорът	Зона 51: Отговорът	Робърт Дохърти	Робърт Дохърти
734	1513	Боговете на Марс	Боговете на Марс	Едгар Бъроуз	Едгар Бъроуз
736	53	1984	1984	Джордж Оруел	Джордж Оруел
752	4915	Аз съм номер Четири	Аз съм номер четири	Питакъс Лор	Питакъс Лор
753	6735	Силата на шестимата	Силата на шестимата	Питакъс Лор	Питакъс Лор
759	1910	Зона 51: Мисията	Зона 51: Мисията	Робърт Дохърти	Робърт Дохърти
760	1911	Зона 51: Сфинксът	Зона 51: Сфинксът	Робърт Дохърти	Робърт Дохърти
762	1912	Зона 51: Граалът	Зона 51: Граалът	Робърт Дохърти	Робърт Дохърти
763	1913	Зона 51: Екскалибур	Зона 51: Екскалибур	Робърт Дохърти	Робърт Дохърти
764	1914	Зона 51: Истината	Зона 51: Истината	Робърт Дохърти	Робърт Дохърти
765	1915	Зона 51: Носферату	Зона 51: Носферату	Робърт Дохърти	Робърт Дохърти
766	1916	Зона 51: Легендата	Зона 51: Легендата	Робърт Дохърти	Робърт Дохърти
768	3812	Летен прилив	Летен прилив	Чарлс Шефилд	Чарлс Шефилд
