5	GBKL-GAL-015X	Летище	Летище	Артър Хейли	Артър Хейли	GBKL-GAL/GBKL-GAL-015X.jpg
31	NKLT-BSK-KCIT	Избрани творби	Избрани творби	Алеко Константинов	Карел Чапек	NKLT-BSK/NKLT-BSK-KCIT.jpg
205	IZZP-KVR-DSPG	Пътешествията на Гъливер	Пътешествията на Гъливер	Джонатан Суифт	Джонатан Суифт	
228	OTCH-IKD-89VJ	Вийет	Вийет	Шарлот Бронте	Шарлот Бронте	OTCH-IKD/OTCH-IKD-89VJ.jpg
277	IDAR-MNO-0003	Произход	Произход	Джесика Кори	Стивън Бакстър	IDAR-MNO/IDAR-MNO-0003.jpg
355	BARD-S-07NGZP	Звезден прах	Звезден прах	Дончо Цончев	Нийл Геймън	BARD-S/BARD-S-07NGZP.jpg
383	LTUS-FIP-0001	Изгубеният свят	Изгубеният свят	Майкъл Крайтън	Артър Конан Дойл	LTUS-FIP/LTUS-FIP-0001.jpg
383	NKLT-JRM-65IS	Изгубеният свят	Изгубеният свят	Майкъл Крайтън	Артър Конан Дойл	NKLT-JRM/NKLT-JRM-65IS.jpg
383	OTCH-FAN-78IS	Изгубеният свят	Изгубеният свят	Майкъл Крайтън	Артър Конан Дойл	OTCH-FAN/OTCH-FAN-78IS.jpg
383	PANI-LDR-0002	Изгубеният свят	Изгубеният свят	Майкъл Крайтън	Артър Конан Дойл	PANI-LDR/PANI-LDR-0002.jpg
486	ZHAR-PIF-98KR	Карантината	Карантината	Жан-Мари Гюстав льо Клезио	Лес Мартин	
518	OTCH-IKD-83LD	Лорна Дун	Лорна Дун	Р. Д. Блакмор	Р. Д. Блакмор	OTCH-IKD/OTCH-IKD-83LD.jpg
779	BARD-S-01DTVP	Властелинът на пръстените	Властелинът на пръстените	Дж. Р. Р. Толкин	Дж. Р. Р. Толкин	BARD-S/BARD-S-01DTVP.jpg
779	BARD-S-99DTVP	Властелинът на пръстените	Властелинът на пръстените	Дж. Р. Р. Толкин	Дж. Р. Р. Толкин	BARD-S/BARD-S-99DTVP.jpg
796	NKLT-BSK-KCIT	Избрани творби	Избрани творби	Луиджи Пирандело	Карел Чапек	NKLT-BSK/NKLT-BSK-KCIT.jpg
797	PLEJ-DNZ-0010	Завръщането	Завръщането	Майкъл Пунке	Джийн М. Оел	
834	BGPS-S-67SMIR	Избрани разкази	Избрани разкази	Артър Кларк	Светослав Минков	BGPS-S/BGPS-S-67SMIR.jpg
835	BGPS-S-67SMIR	Избрани разкази	Избрани разкази	Артър Кларк	Светослав Минков	BGPS-S/BGPS-S-67SMIR.jpg
899	PLEJ-FPL-0007	Сенки	Сенки	Илса Бик	Джон Сол	PLEJ-FPL/PLEJ-FPL-0007.jpg
1009	VUZV-ISD-03FS	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-03FS.jpg
1009	VUZV-ISD-93FS	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-93FS.jpg
1010	VUZV-ISD-03FS	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-03FS.jpg
1010	VUZV-ISD-93FS	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-93FS.jpg
1015	BARD-S-01DTVP	Властелинът на пръстените	Властелинът на пръстените	Дж. Р. Р. Толкин	Дж. Р. Р. Толкин	BARD-S/BARD-S-01DTVP.jpg
1015	BARD-S-99DTVP	Властелинът на пръстените	Властелинът на пръстените	Дж. Р. Р. Толкин	Дж. Р. Р. Толкин	BARD-S/BARD-S-99DTVP.jpg
1031	BGIG-S-07HLVZ	Възкресителят	Възкресителят	Глен Купър	Х. Ф. Лъвкрафт	BGIG-S/BGIG-S-07HLVZ.jpg
1064	NMLD-PNF-053X	Петнадесетгодишният капитан	Петнадесетгодишният капитан	Жул Верн	Жюл Верн	NMLD-PNF/NMLD-PNF-053X.jpg
1147	BARD-KIM-0001	Пътят на дракона	Пътят на дракона	Джордж М. Джордж	Даниел Ейбрахам	BARD-KIM/BARD-KIM-0001.jpg
1180	BARD-ISF-007X	Звездна вълна се надига	Звездна вълна се надига	Дейвид Брин	Дейвид Брин	BARD-ISF/BARD-ISF-007X.jpg
1335	VUZV-ISD-94EM	Еманципирана магия	Еманципирана магия	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-94EM.jpg
1336	VUZV-ISD-94EM	Еманципирана магия	Еманципирана магия	Тери Пратчет	Тери Пратчет	VUZV-ISD/VUZV-ISD-94EM.jpg
1349	FAMA-KLS-DO84	1984	1984	Джордж Оруел	Джордж Оруел	FAMA-KLS/FAMA-KLS-DO84.jpg
1349	UNKN-S-04DO84	1984	1984	Джордж Оруел	Джордж Оруел	UNKN-S/UNKN-S-04DO84.jpg
1380	IDAR-BSV-0003	Обитаемият остров	Обитаемият остров	Аркадий Стругацки; Борис Стругацки	Аркадий и Борис Стругацки	IDAR-BSV/IDAR-BSV-0003.jpg
1380	OTCH-FAN-81OO	Обитаемият остров	Обитаемият остров	Аркадий Стругацки; Борис Стругацки	Аркадий Стругацки	OTCH-FAN/OTCH-FAN-81OO.jpg
1380	OTCH-FAN-84OO	Обитаемият остров	Обитаемият остров	Аркадий Стругацки; Борис Стругацки	Аркадий Стругацки	OTCH-FAN/OTCH-FAN-84OO.jpg
1430	SIBJ-S-92SKBC	Бягащият човек	Бягащият човек	Стивън Кинг	Стивън Кинг	SIBJ-S/SIBJ-S-92SKBC.jpg
1625	NVCH-OSD-02VS	Втори шанс	Втори шанс	Джаклин Рединг	Джери Б. Дженкинс	
1794	HRMS-TNF-02MG	Магьосникът	Магьосникът	Джеймс Байрон Хъгинс	Майкъл Скот	HRMS-TNF/HRMS-TNF-02MG.jpg
1794	PLEJ-TMK-4MG1	Магьосникът	Магьосникът	Джеймс Байрон Хъгинс	Стивън Кинг	PLEJ-TMK/PLEJ-TMK-4MG1.jpg
1794	PLEJ-TMK-4MG2	Магьосникът	Магьосникът	Джеймс Байрон Хъгинс	Стивън Кинг	PLEJ-TMK/PLEJ-TMK-4MG2.jpg
1808	CIEL-S-17NGSM	Скандинавска митология	Скандинавска митология		Нийл Геймън	CIEL-S/CIEL-S-17NGSM.jpg
